time_stamp,x_pos,y_pos,heading,vel_true,delta_cmd,acc_cmd,x_acc,y_acc,z_acc,droll,roll,x2_acc,y2_acc,z2_acc,droll2,roll2
1701588232761773109,-3447233.696127286,-5747451.22986381,2.9710227449669144,0.0001617431640625,0.00024881242915545304,0.006,0.16867516934871674,0.19361689686775208,-9.787900924682617,0.005544829182326794,-0.014452768489718437,-0.06480879336595535,-0.49744388461112976,-9.835861206054688,0.009113426320254803,0.0883042961359024
1701588232806714296,-3447233.696127286,-5747451.22986381,2.9709965189232133,0.0001617431640625,0.0004976608379911509,0.009000000000000001,0.16927273571491241,0.18942585587501526,-9.786706924438477,0.005813141353428364,-0.014436985366046429,-0.06699604541063309,-0.5095427632331848,-9.829972267150879,0.009736841544508934,0.08850311487913132
1701588232859817743,-3447233.7007999397,-5747451.230163969,2.970972677065303,0.0,0.0004976608379911509,0.012,0.16388538479804993,0.19301673769950867,-9.780742645263672,0.00554499588906765,-0.014551329426467419,-0.06720316410064697,-0.5080133676528931,-9.833613395690918,0.008847374469041824,0.0883544385433197
1701588232907818555,-3447233.7007999397,-5747451.230163969,2.9709788759483597,0.0001617431640625,0.0007465342848187524,0.015,0.1584997922182083,0.19840332865715027,-9.772985458374023,0.006345685571432114,-0.014555887319147587,-0.07140397280454636,-0.5003865361213684,-9.83278751373291,0.008492277935147285,0.08859967440366745
1701588232960555315,-3447233.700065747,-5747451.226427048,2.9710399111046097,0.0,0.0007465342848187524,0.018,0.16028869152069092,0.1930176019668579,-9.784917831420898,0.005544594023376703,-0.01454329863190651,-0.07919719070196152,-0.4998942017555237,-9.828189849853516,0.009112407453358173,0.08836504071950912
1701588233009902477,-3447233.700065747,-5747451.226427048,2.9710556467308304,0.0,0.0007465342848187524,0.020999999999999998,0.16508781909942627,0.1996019184589386,-9.778951644897461,0.006077306345105171,-0.014526660554111004,-0.07319249212741852,-0.5016638040542603,-9.826547622680664,0.009470386430621147,0.08861619234085083
1701588233060109138,-3447233.6969812536,-5747451.227825298,2.971033235384395,0.0,0.0007465342848187524,0.023999999999999997,0.15489768981933594,0.1894242763519287,-9.778951644897461,0.005277045536786318,-0.014461400918662548,-0.07138746976852417,-0.4990054666996002,-9.823805809020996,0.009112326428294182,0.08840072900056839
1701588233113625288,-3447233.6969812536,-5747451.227825298,2.97104515631335,0.0001617431640625,0.0009953410174323618,0.026999999999999996,0.15489855408668518,0.19002270698547363,-9.777758598327637,0.006077554076910019,-0.014488684944808483,-0.060981638729572296,-0.5063920021057129,-9.822635650634766,0.008846324868500233,0.08865758776664734
1701588233160671234,-3447233.7018248825,-5747451.224684366,2.9710341890587113,0.0001617431640625,0.0012441338263238621,0.029999999999999995,0.15789523720741272,0.18822580575942993,-9.773582458496094,0.005813888739794493,-0.01457498874515295,-0.07440833747386932,-0.5004265308380127,-9.83478832244873,0.008846305310726166,0.08841651678085327
1701588233209970951,-3447233.7018248825,-5747451.224684366,2.9710508783592484,0.0,0.0012441338263238621,0.032999999999999995,0.17406268417835236,0.18583422899246216,-9.789093017578125,0.007413659244775772,-0.014541725628077984,-0.06700493395328522,-0.495189905166626,-9.833309173583984,0.008667686954140663,0.08865079283714294
