time_stamp,x_pos,y_pos,heading,vel_true,delta_cmd,acc_cmd,x_acc,y_acc,z_acc
1639206939898766040,-8936217.431527706,8340343.227975065,-2.30345098575088,0.0,-9,0.15,0.34535568952560425,0.09843023866415024,-9.808780670166016
1639206940001885652,-8936217.431527706,8340343.227975065,-2.3034404953333993,0.0,-9,0.15,0.35974356532096863,0.10621094703674316,-9.798042297363281
1639206940102704048,-8936217.431527706,8340343.227975065,-2.3034402569148202,0.0,-9,0.15,0.35315069556236267,0.09603220224380493,-9.792673110961914
1639206940201753616,-8936217.431527706,8340343.227975065,-2.3034457405421396,0.0,-9,0.15,0.3621305227279663,0.09423871338367462,-9.805201530456543
1639206940302577972,-8936217.431527706,8340343.227975065,-2.3034295280787607,-0.0001617431640625,-9,0.149909423828125,0.35433679819107056,0.09244447946548462,-9.814149856567383
1639206940400350093,-8936217.431527706,8340343.227975065,-2.303436919054713,0.0001617431640625,-9,0.150090576171875,0.3519456088542938,0.09603513032197952,-9.806991577148438
1639206940501641988,-8936217.431527706,8340343.227975065,-2.3034550388667245,0.0,-9,0.15,0.35434460639953613,0.09483641386032104,-9.800429344177246
1639206940602776050,-8936217.431527706,8340343.227975065,-2.3034364422175546,0.0,-9,0.15,0.3531399965286255,0.09244387596845627,-9.811166763305664
1639206940700216531,-8936217.431527706,8340343.227975065,-2.303439303240504,0.0,-9,0.15,0.36813223361968994,0.1038152277469635,-9.793270111083984
1639206940799700975,-8936217.431527706,8340343.227975065,-2.3034462173792978,0.0,-9,0.15,0.35134047269821167,0.08585785329341888,-9.808780670166016
1639206940901914834,-8936217.431527706,8340343.227975065,-2.303444548449244,0.0001617431640625,-9,0.15,0.36692219972610474,0.09184396266937256,-9.805201530456543
1639206941000649213,-8936217.431527706,8340343.227975065,-2.3033935268733163,0.0,-9,0.149909423828125,0.34955674409866333,0.10082241892814636,-9.796253204345703
1639206941099069356,-8936217.431527706,8340343.227975065,-2.303404732546534,0.0001617431640625,-9,0.150090576171875,0.35672712326049805,0.0864589735865593,-9.82071304321289
1639206941202147722,-8936217.431527706,8340343.227975065,-2.3033932884547372,0.0,-9,0.15,0.3489549458026886,0.09842827916145325,-9.799236297607422
1639206941301414966,-8936217.431527706,8340343.227975065,-2.3033961494776864,0.0,-9,0.15,0.3543379306793213,0.09124638140201569,-9.810571670532227
1639206941400336980,-8936217.431527706,8340343.227975065,-2.3033870895716806,0.0,-9,0.15,0.36033815145492554,0.09842828661203384,-9.799236297607422
1639206941501037359,-8936217.431527706,8340343.227975065,-2.303371830782618,0.0,-9,0.15,0.34895408153533936,0.09723103791475296,-9.799832344055176
1639206941599294185,-8936217.431527706,8340343.227975065,-2.30333678325149,0.0,-9,0.15,0.3555329442024231,0.07987026870250702,-9.805201530456543
1639206941701943874,-8936217.431527706,8340343.227975065,-2.303331776461329,0.0,-9,0.15,0.34655776619911194,0.09363807737827301,-9.795656204223633
1639206941799774169,-8936217.431527706,8340343.227975065,-2.3033048351618906,0.0,-9,0.15,0.35733866691589355,0.1008252203464508,-9.80997371673584
1639206941900800704,-8936217.431527706,8340343.227975065,-2.303306027254786,0.0,-9,0.15,0.35734739899635315,0.09722860157489777,-9.7878999710083
1639206941999765157,-8936217.431527706,8340343.227975065,-2.303336067995753,0.0,-9,0.150090576171875,0.34355446696281433,0.09184494614601135,-9.809972763061523
1639206942100488185,-8936217.431527706,8340343.227975065,-2.303301497301783,-0.0001617431640625,-9,0.15,0.37111276388168335,0.09723469614982605,-9.817729949951172
1639206942201238632,-8936217.431527706,8340343.227975065,-2.3032530983302255,0.0,-9,0.15,0.3435516059398651,0.09304377436637878,-9.817132949829102
1639206942300706863,-8936217.431527706,8340343.227975065,-2.3032252033564706,0.0,-9,0.15,0.37111902236938477,0.10561543703079224,-9.813553810119629
1639206942400184869,-8936217.431527706,8340343.227975065,-2.3032182892176767,0.0,-9,0.15,0.35134440660476685,0.09304195642471313,-9.808183670043945
1639206942501246690,-8936217.431527706,8340343.227975065,-2.303207083544459,0.0001617431640625,-9,0.15,0.3567466735839844,0.10082217305898666,-9.795059204101562
1639206942599980115,-8936217.431527706,8340343.227975065,-2.303190394243922,-0.0001617431640625,-9,0.15,0.36153796315193176,0.1038169413805008,-9.80162239074707
