time_stamp,x_pos,y_pos,heading,vel_true,delta_cmd,acc_cmd,x_acc,y_acc,z_acc
1639206111590477705:1639206111590017080,-8936217.431527706,8340343.227975065,-2.3269366463038583,0.0,-2538778.1308647855,0.15,0.3345711827278137,0.09244228899478912,-9.803411483764648;
1639206111691961288:1639206111691511631,-8936217.431527706,8340343.227975065,-2.3269325931880136,0.0,-2538778.1308647855,0.15,0.3357624411582947,0.081067755818367,-9.805797576904297;
1639206111791906118:1639206111791437864,-8936217.431527706,8340343.227975065,-2.3269044597956796,0.0,-2538778.1308647855,0.15,0.3393661677837372,0.08645324409008026,-9.792673110961914;
1639206111891789913:1639206111890939235,-8936217.431527706,8340343.227975065,-2.3268882473323007,0.0,-2538778.1308647855,0.15,0.329772412776947,0.07986965775489807,-9.80221939086914;
1639206111990849018:1639206111990420579,-8936217.431527706,8340343.227975065,-2.3268996914240976,0.0,-2538778.1308647855,0.15,0.35374438762664795,0.08645348250865936,-9.793867111206055;
1639206112090202331:1639206112089750766,-8936217.431527706,8340343.227975065,-2.326874895891871,0.0,-2538778.1308647855,0.15,0.3447486162185669,0.08166681230068207,-9.807587623596191;
1639206112192700147:1639206112192197322,-8936217.431527706,8340343.227975065,-2.326865597567286,0.0,-2538778.1308647855,0.15,0.3501496911048889,0.08645348995923996,-9.793867111206055;
1639206112289821863:1639206112289101839,-8936217.431527706,8340343.227975065,-2.326886578402247,-0.0001617431640625,-2538778.2111065397,0.149909423828125,0.33636629581451416,0.08525745570659637,-9.80042839050293;
1639206112391599416:1639206112391140460,-8936217.431527706,8340343.227975065,-2.3269278248164316,0.0,-2538778.2111065397,0.15,0.344753623008728,0.09483861178159714,-9.811166763305664;
1639206112494814395:1639206112494330644,-8936217.431527706,8340343.227975065,-2.3269650181147714,0.0,-2538778.290300126,0.15,0.33636993169784546,0.08286064863204956,-9.790287017822266;
1639206112591260433:1639206112590663194,-8936217.431527706,8340343.227975065,-2.326971216997828,0.0,-2538778.290300126,0.15,0.33517131209373474,0.08884896337985992,-9.797445297241211;
1639206112690436124:1639206112689885854,-8936217.431527706,8340343.227975065,-2.326989813646998,0.0001617431640625,-2538778.4497354836,0.150090576171875,0.33576738834381104,0.08226330578327179,-9.796849250793457;
