"时间","longiForce Monitor: longiForce Monitor (N)","sideForce Monitor 2: sideForce Monitor 2 (N)","verticalForce Monitor 2: verticalForce Monitor 2 (N)","xMoment Monitor 2: xMoment Monitor 2 (N-m)","yMoment Monitor: yMoment Monitor (N-m)","zMoment Monitor: zMoment Monitor (N-m)"
0.005,4491.901953764824,9.314336449145895,-145456.98335296765,-23.695576961990938,4148.620887332888,7430.073163459238
0.035,15085.96892817884,90.2529112039231,-142543.1063930911,-121.39790796370184,13900.248155055531,28111.527532904405
0.06410647369812707,15262.314066081883,24.973599433590902,-142243.6611156587,-37.783549482163444,14561.88397781722,28275.185262550563
0.082179080814821,16090.739909457776,34.897647969771626,-143323.54494142786,-47.90574950541729,15410.917043700185,30436.714665229174
0.0998182219669159,16741.915796892008,46.540090379019055,-143407.65194813823,-61.03258938464985,15704.663184180437,31719.56146666433
0.1156453539424112,17629.796735062064,57.62383786863937,-143880.51625573667,-69.16321430862297,16441.26686811284,33275.988521228384
0.13252224879273367,18001.68201854633,69.6023562413294,-144388.96444516449,-82.77191068468778,16902.115543551008,34607.36714201146
0.14901509764862217,18800.852255705082,109.39368515533174,-144890.42599286136,-124.9420691434458,17501.188580879225,36496.88137587504
0.16620781347700003,20087.38715081352,156.92934206570416,-145340.65639044318,-176.91012129720826,18355.25989257776,38706.42846649735
0.17990277695653367,20341.702282823386,149.3037051985491,-145924.06591990907,-166.07299882742393,18844.91513358398,40056.5273594893
0.19165470940281373,21124.086998914252,179.44855427014681,-146225.0389559498,-194.9290806938135,19537.28299859797,42059.5343982085
0.20224676814633238,22300.022580655434,191.1693404291418,-146361.30909822774,-206.64180333652158,20150.72592682429,43132.13117072544
0.21311470914728364,23059.906739853443,204.89866164097603,-146607.5328570293,-218.87774316482694,20907.933963993015,44810.904183244165
0.22491658095338654,23784.410286136866,233.3093224786474,-146930.75714027887,-246.2416687926328,21406.073955909018,46625.700947758465
0.23555861732433145,24397.102253278004,263.8608139267435,-147272.5264743764,-275.06067310835255,22078.837730126575,48544.23169174815
0.2468666710381938,25140.243744370924,267.1282400619203,-147445.5833456186,-274.03018465704446,22648.578015447605,50289.046067945055
0.25651296110288124,25644.793571935203,310.56293364846937,-147803.97171207296,-314.6506407634084,23471.401773068825,52991.91200534833
0.26260475435770897,27494.46961374071,270.7764907054064,-147615.5517180496,-265.649900186422,24197.704867865912,54055.56095127893
0.2687708567300134,26504.1604754209,320.0452282181494,-148042.35190101343,-319.5972947677606,24252.97893786205,54788.997872544474
0.27928485379841544,27475.126904502766,327.09765473440035,-148191.80567829282,-328.3040533291476,24893.05637604295,57150.31693300943
0.28722687214020226,28137.966039299667,369.4049390251873,-148316.8995519365,-371.85443938330707,25465.812142838397,58744.92241875843
0.29501729037473334,29419.481725676444,325.8822060361084,-148270.6751569011,-320.9938111448101,26189.057455616043,60485.00498757641
0.3023078039490617,31112.644931734747,399.66704013918604,-148316.43704968694,-401.2382974934608,27585.053891433796,62103.40836464562
0.31001167307997074,30246.6784052122,364.7474841647744,-148640.1226593428,-347.3540127090969,27338.425748156285,63599.44282083855
0.3164365014123356,30780.36990839456,418.29771214672814,-148635.59706098464,-404.4465149415111,27878.480346956727,65325.16010745229
0.323116528989084,32429.309139574834,418.60081579320513,-148532.47557085907,-401.6389124871243,28498.521959592734,66343.63898215411
0.32985129210783287,32193.20912875676,442.1696673982588,-148793.79960354982,-420.017320572289,28928.666184971633,67985.82646878743
0.33707831132239585,32727.074767972885,433.32067022415686,-148801.91344072195,-411.8731189852497,29416.973404569944,69542.68775105536
0.34308160129159126,33979.43899947105,407.9515745478672,-148797.19725802267,-377.1312585189303,29805.55992924628,71040.09995233246
0.34908160129159127,33966.5881608649,471.85465806945973,-148858.53753013987,-438.202967560975,30434.33331204075,72024.0190462884
0.3560816012915913,34490.13792099049,461.8061944608394,-148841.05303063683,-426.0774304789373,30811.586744125558,73787.4620029893
0.3620816012915913,36293.160241949416,433.79541268093317,-148767.51945832378,-375.70266843249595,31539.05120625249,75108.90845802787
0.3680816012915913,35728.57371668159,483.6090876860764,-148835.6837088096,-432.64808692948765,32078.199654645672,76340.75969453504
0.3740816012915913,36413.74364158235,434.546288002051,-148780.62542238584,-389.5039411816253,31972.52600930577,77915.42529967408
0.3810816012915913,38084.634096464746,563.8124786550167,-148564.51058212234,-496.57786033608164,33204.08518488706,79185.88160408578
0.3870816012915913,37256.06905574652,543.9429399970282,-148705.80956375488,-483.14708124640083,33590.23268778669,80536.29334982524
0.3930816012915913,38479.44139937283,475.01752001062096,-148655.26985648228,-395.5468172265667,33626.84550185325,82219.03130101282
0.3990816012915913,38211.6641531484,586.9558416364113,-148578.2960019328,-519.5773364678937,34604.493121223735,83147.27360841236
0.4060816012915913,38468.16312507982,549.1827662841807,-148424.67951817115,-477.1624954034062,34968.685325334525,84643.1795364386
0.4120816012915913,39980.82599721327,504.8686761725971,-148207.83041067637,-416.1131965130272,35543.74220086125,86037.08620756405
0.41808160129159133,39061.275674578355,568.4972558098088,-148118.41276432824,-489.6650208561721,36117.80494120282,87274.06999819158
0.42408160129159134,39470.00359426917,558.5503215607616,-148011.50025390886,-464.9143236669507,36048.943057045035,88775.31842995914
0.4331723343482909,40681.751518161975,569.5487160489306,-147717.7816743766,-460.85599905125315,37017.7241416088,90630.9246421072
0.4408598241218333,40158.38876993271,654.0231301261863,-147471.9333488705,-548.9315961854861,37735.42028384992,92192.0309249687
0.447304447394036,40336.71770079462,695.5962388792977,-147253.60221842662,-588.4513568882644,37898.80462053822,93327.51697916981
