"时间","longiForce Monitor: longiForce Monitor (N)","sideForce Monitor 2: sideForce Monitor 2 (N)","verticalForce Monitor 2: verticalForce Monitor 2 (N)","xMoment Monitor 2: xMoment Monitor 2 (N-m)","yMoment Monitor: yMoment Monitor (N-m)","zMoment Monitor: zMoment Monitor (N-m)"
0.005,4508.895097597682,52.045009900042935,-145439.67719949348,-84.67787890776103,4011.5122511319537,8016.757076582913
0.01,9096.747210303207,62.95110467554859,-143857.3165877541,-101.46141291745975,8336.46519461102,16236.143615844034
0.015,13814.354091703099,0.02611864861887636,-144751.53816967568,-3.51559709083575,13309.14205102145,25466.594534730044
0.02,16021.947646903198,-49.84228828463633,-143165.2963941906,61.4058449876451,15350.66494029229,29994.617800787266
0.025,16023.196387717913,-53.040551701675184,-140955.9128014002,62.540673879788805,15598.429821834983,30145.827645749458
0.035,14923.40095025218,-1.0939628027868822,-140902.03512534732,3.1682514744287396,14531.404063922595,28098.18055106401
0.04,14574.781823111165,31.880156100530492,-141330.06452585614,-39.80298140397714,14054.712179301447,27348.583791672285
0.045,14703.286531235382,49.4955592978461,-141537.2279279763,-66.08496939247416,13958.157695274285,27232.924461205163
0.049999999999999996,14771.737481981761,51.45779578877681,-141999.9406264498,-72.40828148090867,13939.73048487694,27152.849788009553
0.05820555571880984,15176.25199503776,23.114494815350007,-143155.8321526229,-30.996479470624642,14272.97954243054,27635.381947368063
0.06278824333136504,15205.790767631803,31.811838932509115,-143092.61325335523,-41.914623414861836,14342.23179926429,27836.270843203325
0.06778824333136504,15488.728479430949,28.285613895364822,-143117.90561956982,-39.67839567567815,14527.617089529902,28275.162229945756
0.07278824333136505,15643.100793358324,32.35041610808357,-143098.32721856658,-45.80821680191226,14649.29685747519,28612.132199989148
0.07778824333136505,15968.935185944167,50.527909781821634,-143120.85485893258,-68.14073791618534,14920.104692570934,29192.766487217286
0.08778824333136506,16430.481362067785,47.64007405907748,-143201.84117099634,-59.77406794983463,15321.147224402166,30397.862490299263
0.09278824333136507,16464.342042910925,27.08636525492027,-143173.11385573618,-33.40079397263491,15410.9766678291,30739.58985206362
0.09778824333136507,16731.81607657083,23.473161399649335,-143257.48955644015,-28.098194824456026,15657.518790542268,31324.71046775246
0.10278824333136508,16855.06191711754,13.39680010633547,-143288.24987183078,-15.748752226648831,15837.848905832343,31859.730929589125
0.11278824333136508,17336.756577699216,41.371887957712595,-143415.01904010228,-51.38430267105184,16299.687208199584,33074.00507680605
0.11778824333136509,17738.260530102274,41.03750560645169,-143607.9374687554,-48.28304387279141,16678.23911978026,33739.01260054739
0.1227882433313651,17829.794058182953,52.70343982616172,-143720.7198419567,-62.5159618678723,16790.47203670646,34118.41598329689
0.1277882433313651,18193.01036772582,87.11831450580524,-143974.05388476487,-104.37636966933697,17206.448714493337,34810.30234058345
0.1327882433313651,18269.60430108268,93.36555766559079,-144094.76535527632,-112.00776026729856,17267.77957259145,35119.22816231833
0.1427882433313651,18730.033587607002,78.71040727408067,-144487.51957310567,-90.75803382571122,17370.553846007697,36075.14008400653
0.14778824333136512,19136.986532308554,81.05447030545338,-144724.05881854874,-93.38407224058729,17685.65218099285,36784.880653749955
0.15278824333136512,19205.66188377836,83.63486464648881,-144869.856242198,-94.63342244115645,17761.96937822303,37154.80953060471
0.15778824333136512,19689.699405882988,86.96585792946016,-145203.7381100053,-96.6531234176577,18099.56319345394,38073.59515435043
0.16778824333136513,20105.675294478977,109.40923451190704,-145455.61468751475,-120.0258852235674,18437.250137969964,39137.160919900256
0.17278824333136514,20203.481805332027,131.10781648496433,-145530.03144559517,-145.2838105227265,18554.347870185724,39558.07630610519
0.17778824333136514,20784.61801336944,168.53578139963636,-145727.0988226544,-188.3776613316322,19067.106921732855,40637.47934108277
0.18278824333136515,20817.2996730137,172.47286430598106,-145763.76921974422,-192.46011096455436,19113.749488169215,40888.589207765086
0.19278824333136516,21374.34788738439,161.81158875216366,-145999.50551324303,-176.29458691849624,19468.818983470686,42054.19476655289
0.19778824333136516,21931.900732150534,185.712081403929,-146240.49210691944,-199.63924872515054,19908.131119706642,42985.375569535325
0.20216413156253585,21974.54004066241,193.1817286666101,-146264.6520600096,-208.1392903997245,20063.673337071345,43305.44355598822
0.20498485686306703,22921.268392439593,207.54922513418538,-146468.03218545901,-223.18429896194453,20911.32049044332,44933.56759458218
0.20701795689487293,23114.652703210846,209.46457435468713,-146545.1643993234,-226.77987552038786,21319.181913488886,46109.807573372935
0.21109213796178494,22826.24338696409,206.35545458174144,-146444.74329205375,-224.6654981623898,21344.868836017875,45815.95306372101
0.21289569073189463,23825.379981626604,204.74105610188133,-146719.32687462078,-211.46896124931027,21735.91685017898,46715.709929041805
0.21548225094160045,23532.80269596575,215.9170159754897,-146825.0142770675,-227.47523441551462,21505.164805442637,46948.79685258085
0.2185318051768409,23200.01599872901,233.14755789883048,-146842.90712724873,-247.3698509690509,21314.27926896645,46527.06292278591
0.2246607506057843,23819.261344653303,249.96543218377823,-146968.8498502631,-258.3702160316473,21345.879451032237,46335.979778123285
0.22773524446216992,23760.131027545372,253.922740473566,-147062.4395632853,-263.70317251712805,21347.66674936709,46868.381318188905
0.2309220647493174,23678.90117902157,257.63483565556146,-147074.21539413178,-266.80061018013583,21433.35527423182,47034.86925657781
0.23436983672524203,24478.376140916218,258.6238933070321,-147255.5106035928,-267.5623053789317,21834.33590251831,47914.22848063596
0.23936983672524204,24460.09419724037,266.4842935527653,-147295.41859540835,-275.6393819518328,21854.235658274356,48284.97541221773
