"时间","longiForce Monitor: longiForce Monitor (N)","sideForce Monitor 2: sideForce Monitor 2 (N)","verticalForce Monitor 2: verticalForce Monitor 2 (N)","xMoment Monitor 2: xMoment Monitor 2 (N-m)","yMoment Monitor: yMoment Monitor (N-m)","zMoment Monitor: zMoment Monitor (N-m)"
0.005,4904.559461340188,-17.723871871205255,-145904.04267222923,14.032881065457103,3954.671809356945,7688.637661524697
0.017146442744756213,17169.097794146553,-41.47706455801787,-143285.42620289946,39.797089216660794,17439.98140156296,33098.903104387355
0.02360673860948413,14992.311580537575,129.3410375807383,-140474.4814174348,-167.88285407082853,14187.839030788618,28520.232928541318
0.031104840190368237,14161.291669012013,130.6633231994927,-140692.20732371506,-175.52663688067773,13256.560130792936,26124.633083476518
0.03668167517553706,14807.310247311912,-92.03180810423568,-144528.4030628863,108.17916873270494,14305.579515794247,27281.340820251848
0.04134180110586021,14840.40211089169,-15.834023170053172,-143145.21427123947,11.533475385937608,14428.752114385676,27667.619676040187
0.04600975449058371,15204.683306429522,37.532205233421436,-142444.79889116742,-52.30090385475875,14369.069563638495,27925.998319221053
0.05106222438857437,14952.417016222998,33.9214141505085,-142474.12890953192,-50.73576207765295,14200.279937069496,27958.303199115326
0.05520938182645212,15484.445238446768,9.455745300957675,-143461.284428172,-17.95856234106798,14453.275873591392,28337.04367137463
0.06239344838375283,15522.542917751978,9.363318529352458,-143323.89346578845,-17.140142805747402,14530.019049903862,28469.8114311284
0.0697720084923904,15538.813184972776,14.408366049160714,-143327.2076422826,-22.228131315774274,14710.106878244816,28898.904684581048
0.07675267639654179,16009.84783341475,34.3139648259686,-143410.80315658188,-44.331815124060945,15034.723594607669,29533.429832879217
0.08488319930666999,16247.916233817352,41.765346573736046,-143634.7309576541,-55.329998538815886,15212.06346267492,30138.30088856365
0.09200794316359093,16268.52495770553,46.04362686735959,-143915.8270446911,-57.9587251852303,15358.740311172663,30685.858381325634
0.09877291620916105,16703.608082162908,48.171125016934944,-144146.7904220273,-58.531010041387056,15565.847491067561,31274.642314624347
0.10611024115663743,17038.16077585159,56.7138530104255,-144323.04215095245,-68.51324081266725,15834.299355161625,31797.849623585655
0.11766919550580307,17353.617064222115,59.70376117213418,-144540.54774170902,-70.49736477673434,16117.970828376587,32455.82249305778
0.1306234835154474,17862.52706387554,72.86165951614018,-144888.03270743243,-83.43309554896518,16561.429198709066,33694.0075994296
0.14345287633578968,18380.37407830252,82.78334729215591,-145280.31759757176,-92.82356769488193,17110.28400369313,35081.44444669794
0.15394832393972613,19340.644972876937,111.21039024558156,-145724.7290289214,-124.02597108156179,17796.778693979446,36660.14805874024
0.16415167568433595,20013.773585684998,146.21988721046546,-146020.54572370305,-160.58422388761724,18355.444150733576,37957.811966058434
0.17294658098916682,19863.977662433645,149.45750323563706,-146206.55093973232,-162.2125574188445,18443.733501163122,38505.47016570637
0.18329741098679508,20957.57369525348,165.9984518045804,-146528.08147313958,-177.71653773743296,19060.178003572215,40050.08992910891
0.1925713325085684,21152.579856498134,173.05420601452064,-146722.79062688863,-183.4739711839393,19640.872004364963,41692.10715502945
0.20197958454436368,21878.866855645538,193.66232335161652,-147009.1357120905,-206.6068727048651,20124.312306497464,43080.146836837375
0.20994076226218905,22499.42127421433,196.3610319435473,-147266.93615419627,-204.32175660263437,20575.043438294775,44490.88659323228
0.21609779414674818,23486.789120855035,215.78388525978121,-147495.68210117746,-222.59996768743832,21120.79417707368,45789.70009035991
0.22041097530187975,23073.102351267622,221.69849136613266,-147574.9846167008,-231.37001767529077,21459.023754608927,46566.746376267125
0.2241733525527304,23892.395248219203,241.6222609300452,-147805.0094399476,-250.38543041965195,21587.148383206648,47106.57813406992
0.2278067980837629,23538.43000664656,230.7658618317377,-147728.8548612257,-239.81284094588855,21666.964641657247,47472.40143643828
0.23158220774595165,24935.014800950587,256.18025401369675,-147755.67771837235,-262.9746340305225,22229.62932799735,48260.59186705617
0.2365248994590501,24238.983746142065,249.0468004732908,-147864.11417646648,-256.92995916836855,22093.919494742553,48910.44328410559
0.24031258153813925,24544.688215898528,255.9615731827944,-147928.62423514956,-262.4578972462382,22759.52895015698,50065.04991634791
0.24403885187734917,25562.09628768243,276.7034262594067,-148242.23298948558,-283.1272742490465,22868.3669381675,50934.730865699574
0.24719579312398685,25073.08233205418,267.0787346410908,-148180.21397722117,-272.97768153584195,23007.876385303647,51162.16346259966
0.25083316656792626,25392.624475409513,278.66158387184214,-148202.00714340186,-283.77084867136153,23395.559473297355,51742.56953482047
0.2552831811692707,26106.132350457574,279.59094332216904,-148340.8173292647,-279.74863677009597,23374.17637172097,52514.75614421434
0.25891933543563167,26038.0046271394,284.01693250880925,-148295.2303596372,-287.85201018471184,23794.858390145193,53261.20118637173
0.2626576738654195,27308.923025319855,309.68688872914754,-148572.880413667,-312.59910570365633,24204.358122680605,54338.644158663905
0.2689457406470171,26766.91477205619,301.7859385075978,-148492.5196855054,-303.4147343075727,24494.892589216997,54959.67510289413
0.2726708165837217,28486.58417442556,316.62956668824205,-148730.34408989508,-313.9802914679526,24996.646520794304,56572.90422093687
0.2766069222180523,27614.977454401916,314.17542170362873,-148691.64286653916,-312.0972974296202,25014.59738646327,56831.10181596371
0.28006116639278505,27855.20100729774,326.24677619180284,-148707.7944016981,-323.9259476209345,25481.94100083552,57540.43797371139
0.2835734374570916,28779.19077493243,334.449871069384,-148938.35701519708,-327.08173590939566,25454.65614538816,58439.89361012525
