time_stamp,x_pos,y_pos,heading,vel_true,delta_cmd,acc_cmd,x_acc,y_acc,z_acc,droll,roll,x2_acc,y2_acc,z2_acc,droll2,roll2
1.70064E+18,-3447244.957,-5747448.765,-2.722081347,0.000161743,-0.000612341,0.009,0.005121959,0.203794539,-9.787900925,0.001806447,-0.017673569,0.043582074,-0.347294271,-9.838554382,0.006891212,0.043946933
1.70064E+18,-3447244.964,-5747448.756,-2.722076579,0.000161743,-0.001224695,0.012,0.00391277,0.182241887,-9.787900925,0.004208286,-0.017635982,0.051798761,-0.345528841,-9.830385208,0.006712638,0.043994844
1.70064E+18,-3447244.964,-5747448.756,-2.722123309,0,-0.001224695,0.015,0.005120726,0.191818774,-9.777759552,0.003412391,-0.017625777,0.045181774,-0.342886388,-9.838457108,0.006444684,0.04412429
1.70064E+18,-3447244.972,-5747448.747,-2.722118541,0.000161743,-0.00183698,0.018,0.00931432,0.194214106,-9.780742645,0.003413339,-0.017590469,0.0552077,-0.348651707,-9.826307297,0.007427202,0.044231232
1.70064E+18,-3447244.972,-5747448.747,-2.722100898,0.000161743,-0.002449296,0.021,0.003922568,0.203196213,-9.789690018,0.003141631,-0.017606126,0.060994141,-0.352422923,-9.834632874,0.007335517,0.044414517
1.70064E+18,-3447244.98,-5747448.738,-2.722116633,0.000161743,-0.003061593,0.024,0.000924388,0.193017483,-9.784320831,0.004472808,-0.017578162,0.04599116,-0.34559685,-9.833786964,0.006181882,0.044514082
1.70064E+18,-3447244.98,-5747448.738,-2.722129985,0.000161743,-0.003673865,0.027,-0.002074366,0.191821203,-9.789690018,0.00421038,-0.017576627,0.05118306,-0.352518916,-9.839436531,0.006625856,0.044632532
1.70064E+18,-3447244.987,-5747448.729,-2.72213523,0.000161743,-0.004286134,0.03,0.001510237,0.179849207,-9.798042297,0.003408225,-0.017594853,0.049394853,-0.348575532,-9.83251667,0.008049147,0.044735383
1.70064E+18,-3447244.987,-5747448.729,-2.722134753,0.000161743,-0.0048984,0.033,0.012905471,0.190622732,-9.784320831,0.003409904,-0.017624604,0.033795625,-0.358764619,-9.831276894,0.006625502,0.044889346
1.70064E+18,-3447244.987,-5747448.729,-2.722141429,0.000161743,-0.00551066,0.036,-0.000880725,0.191224352,-9.798639297,0.003140694,-0.017602477,0.044608116,-0.342602372,-9.824241638,0.007068204,0.044948671
1.70064E+18,-3447244.993,-5747448.721,-2.722109004,0,-0.00551066,0.039,0.025490411,0.184633076,-9.770599365,0.005008184,-0.017601717,0.05319244,-0.354028344,-9.834794998,0.006981959,0.045097705
1.70064E+18,-3447245,-5747448.713,-2.722096606,0,-0.00551066,0.042,0.006910859,0.18044436,-9.780742645,0.0044738,-0.0176199,0.052780237,-0.351750225,-9.841056824,0.00689308,0.04513637
1.70064E+18,-3447245,-5747448.713,-2.722095176,0.000323486,-0.006122982,0.045,0.005121733,0.196608856,-9.780742645,0.00367836,-0.017607095,0.058196813,-0.347170264,-9.832350731,0.006445978,0.045273539
1.70064E+18,-3447245.007,-5747448.706,-2.722113772,0.000323486,-0.007347642,0.048,0.011703036,0.184037566,-9.786111832,0.004207321,-0.017600985,0.053803921,-0.34648174,-9.827959061,0.006802242,0.04531955
1.70064E+18,-3447245.007,-5747448.706,-2.722111865,0,-0.007347642,0.051,0.021296833,0.191818759,-9.777759552,0.005008937,-0.017621562,0.043976713,-0.343138576,-9.841054916,0.006625623,0.045461159
1.70064E+18,-3447245.013,-5747448.698,-2.722102328,0.000323486,-0.007347642,0.054,0.008710866,0.192419529,-9.787900925,0.002608868,-0.017610947,0.051400572,-0.353736132,-9.830194473,0.006891516,0.04555694
1.70064E+18,-3447245.013,-5747448.698,-2.722103759,0,-0.00857235,0.057,0.006914035,0.190622866,-9.784917831,0.005005773,-0.017595911,0.062409215,-0.356478631,-9.827129364,0.006271268,0.045686267
1.70064E+18,-3447245.013,-5747448.698,-2.722125216,0.000161743,-0.00857235,0.06,0.005111651,0.175654635,-9.779548645,0.003675437,-0.017586004,0.048191939,-0.356630683,-9.834733963,0.006714252,0.045767244
